name,activations,TP,FP,TN,FN,precision,recall,f1,specificity
marital-status_Married__occupation_Professional,5062,3440,1622,23098,4401,0.6795732911892532,0.4387195510776687,0.5332093311632955,0.9343851132686084
occupation_Professional__relationship_Husband,4341,2991,1350,23370,4850,0.6890117484450587,0.38145644688177527,0.4910523723526514,0.9453883495145631
education_Bachelors__marital-status_Married,2840,1872,968,23752,5969,0.6591549295774648,0.23874505802831272,0.3505289766875761,0.96084142394822
education_Bachelors__relationship_Husband,2433,1646,787,23933,6195,0.676531031648171,0.20992220380053564,0.320420478878723,0.968163430420712
education_Masters__marital-status_Married,1020,779,241,24479,7062,0.7637254901960784,0.09934957275857671,0.17582665613361922,0.9902508090614887
capital-gain_bucket_capital-gain_b4,770,756,14,24706,7085,0.9818181818181818,0.09641627343451091,0.17558936244338638,0.9994336569579289
education_Masters__sex_Male,1187,780,407,24313,7061,0.6571187868576243,0.09947710751179696,0.17279574656623836,0.9835355987055017
capital-gain_bucket_capital-gain_b3,878,740,138,24582,7101,0.8428246013667426,0.09437571738298686,0.169744236724395,0.9944174757281553
native-country_US__capital-gain_bucket_capital-gain_b4,706,693,13,24707,7148,0.9815864022662889,0.088381583981635,0.16216216216216217,0.9994741100323624
race_White__capital-gain_bucket_capital-gain_b4,689,677,12,24708,7164,0.9825834542815675,0.08634102793011096,0.15873388042203987,0.9995145631067961
native-country_US__capital-gain_bucket_capital-gain_b3,808,677,131,24589,7164,0.8378712871287128,0.08634102793011096,0.15654989016071222,0.9947006472491909
education_Masters__relationship_Husband,886,680,206,24514,7161,0.7674943566591422,0.08672363218977171,0.1558382032771857,0.9916666666666667
marital-status_Married__capital-gain_bucket_capital-gain_b3,745,669,76,24644,7172,0.897986577181208,0.08532074990434893,0.15583508036338226,0.9969255663430421
race_White__capital-gain_bucket_capital-gain_b3,792,671,121,24599,7170,0.8472222222222222,0.08557581941078944,0.15545001737518824,0.9951051779935275
sex_Male__capital-gain_bucket_capital-gain_b3,724,633,91,24629,7208,0.8743093922651933,0.08072949878841984,0.1478108581436077,0.9963187702265373
sex_Male__capital-gain_bucket_capital-gain_b4,629,619,10,24710,7222,0.9841017488076311,0.0789440122433363,0.14616292798110977,0.9995954692556634
relationship_Husband__capital-gain_bucket_capital-gain_b3,654,589,65,24655,7252,0.900611620795107,0.07511796964672873,0.13866980576809887,0.9973705501618123
marital-status_Married__capital-gain_bucket_capital-gain_b4,544,535,9,24711,7306,0.9834558823529411,0.0682310929728351,0.12760882528324388,0.9996359223300971
occupation_Professional__capital-gain_bucket_capital-gain_b4,513,510,3,24717,7331,0.9941520467836257,0.06504272414232878,0.12209719894661242,0.9998786407766991
relationship_Husband__capital-gain_bucket_capital-gain_b4,477,471,6,24714,7370,0.9874213836477987,0.060068868766738934,0.1132483770137052,0.999757281553398
workclass_Private__capital-gain_bucket_capital-gain_b4,458,452,6,24714,7389,0.9868995633187773,0.05764570845555414,0.10892878660079529,0.999757281553398
workclass_Private__capital-gain_bucket_capital-gain_b3,557,457,100,24620,7384,0.8204667863554758,0.058283382221655404,0.10883543700881163,0.9959546925566343
education_Prof-school,576,423,153,24567,7418,0.734375,0.05394720061216682,0.10051087085659974,0.9938106796116505
occupation_Professional__relationship_Wife,596,415,181,24539,7426,0.6963087248322147,0.052926922586404794,0.09837620007111533,0.9926779935275081
education_Prof-school__occupation_Professional,511,389,122,24598,7452,0.761252446183953,0.04961101900267823,0.09315134099616858,0.9950647249190938
education_Prof-school__sex_Male,484,381,103,24617,7460,0.7871900826446281,0.04859074097691621,0.09153153153153153,0.9958333333333333
education_Prof-school__race_White,514,382,132,24588,7459,0.7431906614785992,0.048718275730136464,0.091442250149611,0.9946601941747573
education_Prof-school__native-country_US,502,374,128,24592,7467,0.7450199203187251,0.04769799770437444,0.0896559990411123,0.9948220064724919
hours-per-week_bucket_hours-per-week_b1__capital-gain_bucket_capital-gain_b3,448,368,80,24640,7473,0.8214285714285714,0.04693278918505293,0.08879237543732657,0.9967637540453075
occupation_Professional__capital-gain_bucket_capital-gain_b3,397,350,47,24673,7491,0.8816120906801007,0.04463716362708838,0.08497208060208788,0.9980987055016182
education_Prof-school__marital-status_Married,415,347,68,24652,7494,0.8361445783132531,0.04425455936742762,0.08406007751937984,0.9972491909385113
education_Masters__age_bucket_age_b3,482,335,147,24573,7506,0.6950207468879668,0.042724142328784596,0.08049981977652289,0.9940533980582524
education_Prof-school__relationship_Husband,385,324,61,24659,7517,0.8415584415584415,0.04132126004336181,0.07877461706783369,0.9975323624595469
education_Masters__hours-per-week_bucket_hours-per-week_b2,476,317,159,24561,7524,0.6659663865546218,0.04042851677082005,0.07622940964290009,0.9935679611650485
education_Doctorate,413,306,107,24613,7535,0.7409200968523002,0.03902563448539727,0.07414586866973588,0.9956715210355987
education_Doctorate__occupation_Professional,379,284,95,24625,7557,0.7493403693931399,0.036219869914551714,0.06909975669099756,0.9961569579288025
education_Prof-school__capital-gain_bucket_capital-gain_b0,427,284,143,24577,7557,0.6651053864168618,0.036219869914551714,0.0686985970004838,0.994215210355987
education_Doctorate__race_White,369,276,93,24627,7565,0.7479674796747967,0.0351995918887897,0.06723507917174178,0.9962378640776699
education_Doctorate__sex_Male,327,256,71,24649,7585,0.7828746177370031,0.03264889682438465,0.06268364348677767,0.9971278317152104
education_Doctorate__native-country_US,328,249,79,24641,7592,0.7591463414634146,0.03175615355184288,0.06096217407271392,0.996804207119741
education_Doctorate__capital-gain_bucket_capital-gain_b0,337,237,100,24620,7604,0.7032640949554896,0.030225736513199847,0.05796038151137198,0.9959546925566343
