name,activations,TP,FP,TN,FN,precision,recall,f1,specificity
marital_Married,15417,6736,8681,16039,1105,0.43692028280469614,0.859074097691621,0.5792415512941784,0.6488268608414239
relationship_Husband,13193,5918,7275,17445,1923,0.448571212006367,0.7547506695574544,0.5627079965769707,0.7057038834951457
occupation_Professional,9134,4110,5024,19696,3731,0.449967155682067,0.5241678357352378,0.4842415316642121,0.7967637540453074
age_over_30,21989,7159,14830,9890,682,0.32557187684751465,0.9130212983037878,0.4799865906805229,0.4000809061488673
sex_Male,21790,6662,15128,9592,1179,0.3057365764111978,0.8496365259533223,0.4496642030306099,0.38802588996763754
age_over_40,13443,4753,8690,16030,3088,0.3535669121475861,0.6061726820558602,0.4466265739522646,0.6484627831715211
hours_over_40,9581,3856,5725,18995,3985,0.4024632084333577,0.49177400841729374,0.4426587073814718,0.768406148867314
education_num_13_14,7078,3180,3898,20822,4661,0.44927945747386266,0.405560515240403,0.42630203096722297,0.8423139158576052
race_White,27816,7117,20699,4021,724,0.2558599367270636,0.9076648386685372,0.399192304456348,0.16266181229773463
country_US,29170,7171,21999,2721,670,0.24583476174151525,0.9145517153424308,0.38750641701115884,0.11007281553398059
workclass_Private,22696,4963,17733,6987,2878,0.21867289390200917,0.6329549802321133,0.32504830205979635,0.28264563106796114
capital_gain_positive,2712,1677,1035,23685,6164,0.6183628318584071,0.2138757811503635,0.317824315360561,0.9581310679611651
capital_gain_high,1648,1496,152,24568,6345,0.9077669902912622,0.19079199081749776,0.31531246706713034,0.9938511326860842
hours_over_50,3643,1504,2139,22581,6337,0.41284655503705736,0.19181226884325978,0.2619296412399861,0.9134708737864078
workclass_Self,3657,1346,2311,22409,6495,0.36806125239267157,0.17166177783445988,0.2341276743781527,0.9065129449838187
education_num_10_12,9740,2013,7727,16993,5828,0.2066735112936345,0.2567274582323683,0.22899721290029007,0.6874190938511326
workclass_Gov,4351,1341,3010,21710,6500,0.30820501034245,0.17102410406835863,0.21998031496062995,0.8782362459546925
occupation_Manual,10062,1700,8362,16358,6141,0.16895249453388989,0.2168090804744293,0.18991230520024577,0.6617313915857606
occupation_Service,7743,1332,6411,18309,6509,0.1720263463773731,0.16987629128937637,0.1709445585215606,0.7406553398058252
education_num_le_9,14754,1919,12835,11885,5922,0.13006642266503998,0.24473919142966458,0.16986058862580217,0.48078478964401294
capital_loss_positive,1519,773,746,23974,7068,0.5088874259381172,0.09858436423925519,0.16517094017094017,0.969822006472492
relationship_Wife,1568,745,823,23897,7096,0.47512755102040816,0.09501339114908813,0.1583590179615262,0.9667071197411004
sex_Female,10771,1179,9592,15128,6662,0.10946058861758426,0.15036347404667771,0.12669245647969052,0.6119741100323625
country_Non_US,3391,670,2721,21999,7171,0.19758183426717782,0.08544828465756919,0.1193019943019943,0.8899271844660194
relationship_Not_in_family,12732,1111,11621,13099,6730,0.08726044612001256,0.14169111082770056,0.10800563845817332,0.5298948220064725
education_num_15,576,423,153,24567,7418,0.734375,0.05394720061216682,0.10051087085659974,0.9938106796116505
occupation_Clerical,3770,507,3263,21457,7334,0.13448275862068965,0.06466011988266802,0.08733097924382051,0.8680016181229774
marital_Previously_Married,6461,614,5847,18873,7227,0.09503172883454573,0.07830633847723505,0.08586211718640749,0.7634708737864078
education_num_ge_16,413,306,107,24613,7535,0.7409200968523002,0.03902563448539727,0.07414586866973588,0.9956715210355987
race_Black,3124,387,2737,21983,7454,0.12387964148527529,0.04935594949623773,0.07058823529411765,0.8892799352750809
race_Asian_Pac_Islander,1039,276,763,23957,7565,0.26564003849855633,0.0351995918887897,0.06216216216216217,0.9691343042071198
marital_Never_married,10683,491,10192,14528,7350,0.04596087241411589,0.06261956383114399,0.05301230835672641,0.5877022653721683
occupation_Missing,1843,191,1652,23068,7650,0.10363537710255019,0.024359137865068232,0.03944650970673275,0.9331715210355987
workclass_Other_Unknown,1857,191,1666,23054,7650,0.10285406569736133,0.024359137865068232,0.03938956485873376,0.9326051779935275
capital_loss_high,325,142,183,24537,7699,0.4369230769230769,0.018109934957275857,0.03477834925300024,0.9925970873786408
relationship_Own_child,5068,67,5001,19719,7774,0.013220205209155485,0.008544828465756918,0.010380354791230924,0.7976941747572815
race_Amer_Indian_Eskimo,311,36,275,24445,7805,0.1157556270096463,0.00459125111592909,0.008832188420019626,0.9888754045307443
race_Other,271,25,246,24474,7816,0.09225092250922509,0.003188368830506313,0.00616370808678501,0.9900485436893204
occupation_Other,9,1,8,24712,7840,0.1111111111111111,0.00012753475322025253,0.0002547770700636943,0.9996763754045307
